metric,method,value,unit,data,variables,location,forest,details,year,title
rmse,gbt,25.06,mg/ha,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests - mg/ha,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
r^2,gbt,0.27,,"S1,S2","bands,polar,texture,topo,vi","Lambayeque, Peru",dryland forests,dryland forests,2022,Site-specific scaling of remote sensing-based estimates of woody cover and aboveground biomass for mapping long-term tropical dry forest degradation status
r^2,gbt,0.632,,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
rmse,gbt,39.54,mg/ha,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
mae,gbt,7.32,mg/ha,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests - mg/ha,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
relative mae,gbt,17.83,,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
rmse,gbt,36.06,mg/ha,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
r^2,gbt,0.89,,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
mae,gbt,24.62,mg/ha,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
bias,gbt,4.22,mg/ha,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
r^2,gbt,0.69,,"S1,S2","bands,vi,bpv,polar,texture,topo,canopy","Diamir district, Pakistan",scrub forests,,2024,Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data
rmse,gbt,108.59,mg/ha,"S1,S2","bands,vi,bpv,polar,texture,topo,canopy","Diamir district, Pakistan",scrub forests,,2024,Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data
mae,gbt,88.44,mg/ha,"S1,S2","bands,vi,bpv,polar,texture,topo,canopy","Diamir district, Pakistan",scrub forests,,2024,Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data
rmse,gbt,163.8238,mg/ha,"S1,S2,landsat","soil,bands,polar,topo,vi","Scotland, United Kingdom",woodland forests,,2023,Satellite-Based Carbon Estimation in Scotland: AGB and SOC
mae,gbt,103.553,mg/ha,"S1,S2,landsat","soil,bands,polar,topo,vi","Scotland, United Kingdom",woodland forests,,2023,Satellite-Based Carbon Estimation in Scotland: AGB and SOC
r^2,gbt,0.5898,,"S1,S2,landsat","soil,bands,polar,topo,vi","Scotland, United Kingdom",woodland forests,,2023,Satellite-Based Carbon Estimation in Scotland: AGB and SOC
r^2,gbt,0.74,,"S1,S2","backscatter,bands,vi","Bhitarkanika Wildlife Sanctuary, India",Mangrove forests,,2021,A novel approach for estimation of aboveground biomass of a carbon-rich mangrove site in India
rmse,gbt,75.102,t/ha,"S1,S2","backscatter,bands,vi","Bhitarkanika Wildlife Sanctuary, India",Mangrove forests,,2021,A novel approach for estimation of aboveground biomass of a carbon-rich mangrove site in India
relative rmse,gbt,11.11,,"S1,S2","backscatter,bands,vi","Bhitarkanika Wildlife Sanctuary, India",Mangrove forests,,2021,A novel approach for estimation of aboveground biomass of a carbon-rich mangrove site in India
r^2,gbt,0.83,,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
rmse,gbt,89.13,mg/ha,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
mae,gbt,66.46,mg/ha,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
re,gbt,0.6,,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
r^2,gbt,0.902,,"gf2,gf3,gf6","backscatter,bands,texture,topo,vi","Jianghuai Province, China",secondary forests,,2023,Research on Estimating and Evaluating Subtropical Forest Carbon Stocks by Combining Multi-Payload High-Resolution Satellite Data
rmse,gbt,10.261,t/ha,"gf2,gf3,gf6","backscatter,bands,texture,topo,vi","Jianghuai Province, China",secondary forests,,2023,Research on Estimating and Evaluating Subtropical Forest Carbon Stocks by Combining Multi-Payload High-Resolution Satellite Data
r^2,gp,0.8,,"S1,S2","bpv,vi,polar","Changchun, Jilin province, Northeastern China",temperate maize forests,"Maize using EVI, RVI, SAVI",2022,"A Comprehensive Comparison of Machine Learning and Feature Selection Methods for Maize Biomass Estimation Using Sentinel-1 SAR, Sentinel-2 Vegetation Indices, and Biophysical Variables"
rmse,gp,0.43,kg/m2,"S1,S2","bpv,vi,polar","Changchun, Jilin province, Northeastern China",temperate maize forests,"Maize using EVI, RVI, SAVI - kg/m^2",2022,"A Comprehensive Comparison of Machine Learning and Feature Selection Methods for Maize Biomass Estimation Using Sentinel-1 SAR, Sentinel-2 Vegetation Indices, and Biophysical Variables"
rpd,gp,2.68,,"S1,S2","bpv,vi,polar","Changchun, Jilin province, Northeastern China",temperate maize forests,"Maize using EVI, RVI, SAVI",2022,"A Comprehensive Comparison of Machine Learning and Feature Selection Methods for Maize Biomass Estimation Using Sentinel-1 SAR, Sentinel-2 Vegetation Indices, and Biophysical Variables"
r^2,gp,0.378,,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
rmse,gp,50.23,mg/ha,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
relative rmse,gp,28,,S2,"bands,bpv","Juupajoki, Finland",Boreal forests,Boreal forests,2019,Utility of hyperspectral compared to multispectral remote sensing data in estimating forest biomass and structure variables in Finnish boreal forest
rmse,gp,21.46,t/ha,S2,"bands,bpv","Juupajoki, Finland",Boreal forests,Boreal forests - t/ha,2019,Utility of hyperspectral compared to multispectral remote sensing data in estimating forest biomass and structure variables in Finnish boreal forest
relative bias,gp,-2,,S2,"bands,bpv","Juupajoki, Finland",Boreal forests,Boreal forests,2019,Utility of hyperspectral compared to multispectral remote sensing data in estimating forest biomass and structure variables in Finnish boreal forest
r^2,gp,0.63,,S2,"bands,bpv","Juupajoki, Finland",Boreal forests,Boreal forests,2019,Utility of hyperspectral compared to multispectral remote sensing data in estimating forest biomass and structure variables in Finnish boreal forest
r^2,gp,0.7,mg/ha,S2,"bands,topo,vi","Northern, Iran",Broad leaf forest,Broad leaf forest - mg/ha,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
rmse,gp,46.71,mg/ha,S2,"bands,topo,vi","Northern, Iran",Broad leaf forest,Broad leaf forest - mg/ha,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
mae,gp,39.81,,S2,"bands,topo,vi","Northern, Iran",Broad leaf forest,Broad leaf forest,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
r^2,gp,0.23,mg/ha,alos,backscatter,"Northern, Iran",Broad leaf forest,Broad leaf forest - mg/ha,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
rmse,gp,64.67,mg/ha,alos,backscatter,"Northern, Iran",Broad leaf forest,Broad leaf forest - mg/ha,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
mae,gp,51.98,,alos,backscatter,"Northern, Iran",Broad leaf forest,Broad leaf forest,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
r^2,gp,0.69,mg/ha,"S2,alos","bands,topo,vi,backscatter","Northern, Iran",Broad leaf forest,Broad leaf forest - mg/ha,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
rmse,gp,40.11,mg/ha,"S2,alos","bands,topo,vi,backscatter","Northern, Iran",Broad leaf forest,Broad leaf forest - mg/ha,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
mae,gp,33.69,,"S2,alos","bands,topo,vi,backscatter","Northern, Iran",Broad leaf forest,Broad leaf forest,2018,Improving Accuracy Estimation of Forest Aboveground Biomass Based on Incorporation of ALOS-2 PALSAR-2 and Sentinel-2A Imagery and Machine Learning: A Case Study of the Hyrcanian Forest Area (Iran)
r^2,gwr,0.52,,"landsat,smtr","bands,vi","Shenzhen city, China",urban forests,mix of urban and wild,2021,A Novel Spatial Simulation Method for Mapping the Urban Forest Carbon Density in Southern China by the Google Earth Engine
rmse,gwr,13.42,mg/ha,"landsat,smtr","bands,vi","Shenzhen city, China",urban forests,mix of urban and wild - mg/ha,2021,A Novel Spatial Simulation Method for Mapping the Urban Forest Carbon Density in Southern China by the Google Earth Engine
r^2,gwr,0.603,,worldview,"bands,vi,texture","Guangdong Province, China",evergreen broadleaf,evergreen broadleaf,2020,"Estimating aboveground biomass of urban trees by high resolution remote sensing image: a case study in Hengqin, Zhuhai, China"
rmse,gwr,35.44,mg/ha,worldview,"bands,vi,texture","Guangdong Province, China",evergreen broadleaf,evergreen broadleaf - mg/ha,2020,"Estimating aboveground biomass of urban trees by high resolution remote sensing image: a case study in Hengqin, Zhuhai, China"
r^2,knn,0.46,,"landsat,smtr","bands,vi","Shenzhen city, China",urban forests,mix of urban and wild,2021,A Novel Spatial Simulation Method for Mapping the Urban Forest Carbon Density in Southern China by the Google Earth Engine
rmse,knn,14.35,mg/ha,"landsat,smtr","bands,vi","Shenzhen city, China",urban forests,mix of urban and wild - mg/ha,2021,A Novel Spatial Simulation Method for Mapping the Urban Forest Carbon Density in Southern China by the Google Earth Engine
r^2,knn,0.14,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,knn,1.2,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,knn,71.66,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
mse,knn,712.57,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
